University,Faculty,Department,City,Type,Founded_Year
ahram canadian university,Faculty of Arts,History,6th of October City,Private,2005.0
ahram canadian university,Faculty of Arts,Philosophy,6th of October City,Private,2005.0
ahram canadian university,Faculty of Arts,Psychology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Pharmacy,Pharmaceutical Chemistry,6th of October City,Private,2005.0
ahram canadian university,Faculty of Pharmacy,Pharmacology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Pharmacy,Pharmaceutics,6th of October City,Private,2005.0
ahram canadian university,Faculty of Pharmacy,Microbiology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Computers and Information,Computer Science,6th of October City,Private,2005.0
ahram canadian university,Faculty of Computers and Information,Information Systems,6th of October City,Private,2005.0
ahram canadian university,Faculty of Computers and Information,Software Engineering,6th of October City,Private,2005.0
ahram canadian university,Faculty of Mass Communication,Journalism,6th of October City,Private,2005.0
ahram canadian university,Faculty of Mass Communication,Radio & TV,6th of October City,Private,2005.0
ahram canadian university,Faculty of Mass Communication,Public Relations,6th of October City,Private,2005.0
ahram canadian university,Faculty of Mass Communication,Advertising,6th of October City,Private,2005.0
ahram canadian university,Faculty of Nursing,Medical-Surgical Nursing,6th of October City,Private,2005.0
ahram canadian university,Faculty of Nursing,Pediatric Nursing,6th of October City,Private,2005.0
ahram canadian university,Faculty of Nursing,Psychiatric Nursing,6th of October City,Private,2005.0
ahram canadian university,Faculty of Physiotherapy,Orthopedics,6th of October City,Private,2005.0
ahram canadian university,Faculty of Physiotherapy,Neurology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Physiotherapy,Cardiopulmonary,6th of October City,Private,2005.0
ahram canadian university,Faculty of Physiotherapy,Pediatrics,6th of October City,Private,2005.0
ahram canadian university,Faculty of Oral and Dental Medicine,Conservative Dentistry,6th of October City,Private,2005.0
ahram canadian university,Faculty of Oral and Dental Medicine,Orthodontics,6th of October City,Private,2005.0
ahram canadian university,Faculty of Oral and Dental Medicine,Oral Surgery,6th of October City,Private,2005.0
ahram canadian university,Faculty of Oral and Dental Medicine,Periodontology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Veterinary Medicine,Anatomy,6th of October City,Private,2005.0
ahram canadian university,Faculty of Veterinary Medicine,Physiology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Veterinary Medicine,Pathology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Veterinary Medicine,Surgery,6th of October City,Private,2005.0
ahram canadian university,Faculty of Veterinary Medicine,Public Health,6th of October City,Private,2005.0
ahram canadian university,Faculty of Dar El-Ulum,Islamic Studies,6th of October City,Private,2005.0
ahram canadian university,Faculty of Dar El-Ulum,Arabic Language,6th of October City,Private,2005.0
ahram canadian university,Faculty of Dar El-Ulum,Quran Sciences,6th of October City,Private,2005.0
ahram canadian university,Faculty of Dar El-Ulum,Theology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Kindergarten,Early Childhood Education,6th of October City,Private,2005.0
ahram canadian university,Faculty of Kindergarten,Child Psychology,6th of October City,Private,2005.0
ahram canadian university,Faculty of Kindergarten,Curriculum Development,6th of October City,Private,2005.0
ain shams university,Faculty of Medicine,Internal Medicine,Cairo,Public,1950.0
ain shams university,Faculty of Medicine,Surgery,Cairo,Public,1950.0
ain shams university,Faculty of Medicine,Pediatrics,Cairo,Public,1950.0
ain shams university,Faculty of Medicine,Obstetrics & Gynecology,Cairo,Public,1950.0
ain shams university,Faculty of Medicine,Pharmacology,Cairo,Public,1950.0
ain shams university,Faculty of Medicine,Anatomy,Cairo,Public,1950.0
ain shams university,Faculty of Engineering,Civil Engineering,Cairo,Public,1950.0
ain shams university,Faculty of Engineering,Mechanical Engineering,Cairo,Public,1950.0
ain shams university,Faculty of Engineering,Electrical Engineering,Cairo,Public,1950.0
ain shams university,Faculty of Engineering,Architecture,Cairo,Public,1950.0
ain shams university,Faculty of Engineering,Computer Engineering,Cairo,Public,1950.0
ain shams university,Faculty of Science,Mathematics,Cairo,Public,1950.0
ain shams university,Faculty of Science,Physics,Cairo,Public,1950.0
ain shams university,Faculty of Science,Chemistry,Cairo,Public,1950.0
ain shams university,Faculty of Science,Geology,Cairo,Public,1950.0
ain shams university,Faculty of Science,Botany,Cairo,Public,1950.0
ain shams university,Faculty of Science,Zoology,Cairo,Public,1950.0
ain shams university,Faculty of Agriculture,Agronomy,Cairo,Public,1950.0
ain shams university,Faculty of Agriculture,Horticulture,Cairo,Public,1950.0
ain shams university,Faculty of Agriculture,Animal Production,Cairo,Public,1950.0
ain shams university,Faculty of Agriculture,Soil Science,Cairo,Public,1950.0
ain shams university,Faculty of Agriculture,Plant Pathology,Cairo,Public,1950.0
ain shams university,Faculty of Commerce,Accounting,Cairo,Public,1950.0
ain shams university,Faculty of Commerce,Business Administration,Cairo,Public,1950.0
ain shams university,Faculty of Commerce,Economics,Cairo,Public,1950.0
ain shams university,Faculty of Commerce,Statistics,Cairo,Public,1950.0
ain shams university,Faculty of Law,Public Law,Cairo,Public,1950.0
ain shams university,Faculty of Law,Private Law,Cairo,Public,1950.0
ain shams university,Faculty of Law,International Law,Cairo,Public,1950.0
ain shams university,Faculty of Law,Criminal Law,Cairo,Public,1950.0
ain shams university,Faculty of Arts,English Language & Literature,Cairo,Public,1950.0
ain shams university,Faculty of Arts,Arabic,Cairo,Public,1950.0
ain shams university,Faculty of Arts,History,Cairo,Public,1950.0
ain shams university,Faculty of Arts,Philosophy,Cairo,Public,1950.0
ain shams university,Faculty of Arts,Psychology,Cairo,Public,1950.0
ain shams university,Faculty of Pharmacy,Pharmaceutical Chemistry,Cairo,Public,1950.0
ain shams university,Faculty of Pharmacy,Pharmacology,Cairo,Public,1950.0
ain shams university,Faculty of Pharmacy,Pharmaceutics,Cairo,Public,1950.0
ain shams university,Faculty of Pharmacy,Microbiology,Cairo,Public,1950.0
ain shams university,Faculty of Computers and Information,Computer Science,Cairo,Public,1950.0
ain shams university,Faculty of Computers and Information,Information Systems,Cairo,Public,1950.0
ain shams university,Faculty of Computers and Information,Software Engineering,Cairo,Public,1950.0
ain shams university,Faculty of Mass Communication,Journalism,Cairo,Public,1950.0
ain shams university,Faculty of Mass Communication,Radio & TV,Cairo,Public,1950.0
ain shams university,Faculty of Mass Communication,Public Relations,Cairo,Public,1950.0
ain shams university,Faculty of Mass Communication,Advertising,Cairo,Public,1950.0
ain shams university,Faculty of Nursing,Medical-Surgical Nursing,Cairo,Public,1950.0
ain shams university,Faculty of Nursing,Pediatric Nursing,Cairo,Public,1950.0
ain shams university,Faculty of Nursing,Psychiatric Nursing,Cairo,Public,1950.0
ain shams university,Faculty of Physiotherapy,Orthopedics,Cairo,Public,1950.0
ain shams university,Faculty of Physiotherapy,Neurology,Cairo,Public,1950.0
ain shams university,Faculty of Physiotherapy,Cardiopulmonary,Cairo,Public,1950.0
ain shams university,Faculty of Physiotherapy,Pediatrics,Cairo,Public,1950.0
ain shams university,Faculty of Oral and Dental Medicine,Conservative Dentistry,Cairo,Public,1950.0
ain shams university,Faculty of Oral and Dental Medicine,Orthodontics,Cairo,Public,1950.0
ain shams university,Faculty of Oral and Dental Medicine,Oral Surgery,Cairo,Public,1950.0
ain shams university,Faculty of Oral and Dental Medicine,Periodontology,Cairo,Public,1950.0
ain shams university,Faculty of Veterinary Medicine,Anatomy,Cairo,Public,1950.0
ain shams university,Faculty of Veterinary Medicine,Physiology,Cairo,Public,1950.0
ain shams university,Faculty of Veterinary Medicine,Pathology,Cairo,Public,1950.0
ain shams university,Faculty of Veterinary Medicine,Surgery,Cairo,Public,1950.0
ain shams university,Faculty of Veterinary Medicine,Public Health,Cairo,Public,1950.0
ain shams university,Faculty of Dar El-Ulum,Islamic Studies,Cairo,Public,1950.0
ain shams university,Faculty of Dar El-Ulum,Arabic Language,Cairo,Public,1950.0
ain shams university,Faculty of Dar El-Ulum,Quran Sciences,Cairo,Public,1950.0
ain shams university,Faculty of Dar El-Ulum,Theology,Cairo,Public,1950.0
ain shams university,Faculty of Kindergarten,Early Childhood Education,Cairo,Public,1950.0
ain shams university,Faculty of Kindergarten,Child Psychology,Cairo,Public,1950.0
ain shams university,Faculty of Kindergarten,Curriculum Development,Cairo,Public,1950.0
al alamein international university,Faculty of Medicine,Internal Medicine,El Alamein,National,2020.0
al alamein international university,Faculty of Medicine,Surgery,El Alamein,National,2020.0
al alamein international university,Faculty of Medicine,Pediatrics,El Alamein,National,2020.0
al alamein international university,Faculty of Medicine,Obstetrics & Gynecology,El Alamein,National,2020.0
al alamein international university,Faculty of Medicine,Pharmacology,El Alamein,National,2020.0
al alamein international university,Faculty of Medicine,Anatomy,El Alamein,National,2020.0
al alamein international university,Faculty of Engineering,Civil Engineering,El Alamein,National,2020.0
al alamein international university,Faculty of Engineering,Mechanical Engineering,El Alamein,National,2020.0
al alamein international university,Faculty of Engineering,Electrical Engineering,El Alamein,National,2020.0
al alamein international university,Faculty of Engineering,Architecture,El Alamein,National,2020.0
al alamein international university,Faculty of Engineering,Computer Engineering,El Alamein,National,2020.0
al alamein international university,Faculty of Science,Mathematics,El Alamein,National,2020.0
al alamein international university,Faculty of Science,Physics,El Alamein,National,2020.0
al alamein international university,Faculty of Science,Chemistry,El Alamein,National,2020.0
al alamein international university,Faculty of Science,Geology,El Alamein,National,2020.0
al alamein international university,Faculty of Science,Botany,El Alamein,National,2020.0
al alamein international university,Faculty of Science,Zoology,El Alamein,National,2020.0
al alamein international university,Faculty of Agriculture,Agronomy,El Alamein,National,2020.0
al alamein international university,Faculty of Agriculture,Horticulture,El Alamein,National,2020.0
al alamein international university,Faculty of Agriculture,Animal Production,El Alamein,National,2020.0
al alamein international university,Faculty of Agriculture,Soil Science,El Alamein,National,2020.0
al alamein international university,Faculty of Agriculture,Plant Pathology,El Alamein,National,2020.0
al alamein international university,Faculty of Commerce,Accounting,El Alamein,National,2020.0
al alamein international university,Faculty of Commerce,Business Administration,El Alamein,National,2020.0
al alamein international university,Faculty of Commerce,Economics,El Alamein,National,2020.0
al alamein international university,Faculty of Commerce,Statistics,El Alamein,National,2020.0
al alamein international university,Faculty of Law,Public Law,El Alamein,National,2020.0
al alamein international university,Faculty of Law,Private Law,El Alamein,National,2020.0
al alamein international university,Faculty of Law,International Law,El Alamein,National,2020.0
al alamein international university,Faculty of Law,Criminal Law,El Alamein,National,2020.0
al alamein international university,Faculty of Arts,English Language & Literature,El Alamein,National,2020.0
al alamein international university,Faculty of Arts,Arabic,El Alamein,National,2020.0
al alamein international university,Faculty of Arts,History,El Alamein,National,2020.0
al alamein international university,Faculty of Arts,Philosophy,El Alamein,National,2020.0
al alamein international university,Faculty of Arts,Psychology,El Alamein,National,2020.0
al alamein international university,Faculty of Pharmacy,Pharmaceutical Chemistry,El Alamein,National,2020.0
al alamein international university,Faculty of Pharmacy,Pharmacology,El Alamein,National,2020.0
al alamein international university,Faculty of Pharmacy,Pharmaceutics,El Alamein,National,2020.0
al alamein international university,Faculty of Pharmacy,Microbiology,El Alamein,National,2020.0
al alamein international university,Faculty of Computers and Information,Computer Science,El Alamein,National,2020.0
al alamein international university,Faculty of Computers and Information,Information Systems,El Alamein,National,2020.0
al alamein international university,Faculty of Computers and Information,Software Engineering,El Alamein,National,2020.0
al alamein international university,Faculty of Mass Communication,Journalism,El Alamein,National,2020.0
al alamein international university,Faculty of Mass Communication,Radio & TV,El Alamein,National,2020.0
al alamein international university,Faculty of Mass Communication,Public Relations,El Alamein,National,2020.0
al alamein international university,Faculty of Mass Communication,Advertising,El Alamein,National,2020.0
al alamein international university,Faculty of Nursing,Medical-Surgical Nursing,El Alamein,National,2020.0
al alamein international university,Faculty of Nursing,Pediatric Nursing,El Alamein,National,2020.0
al alamein international university,Faculty of Nursing,Psychiatric Nursing,El Alamein,National,2020.0
al alamein international university,Faculty of Physiotherapy,Orthopedics,El Alamein,National,2020.0
al alamein international university,Faculty of Physiotherapy,Neurology,El Alamein,National,2020.0
al alamein international university,Faculty of Physiotherapy,Cardiopulmonary,El Alamein,National,2020.0
al alamein international university,Faculty of Physiotherapy,Pediatrics,El Alamein,National,2020.0
al alamein international university,Faculty of Oral and Dental Medicine,Conservative Dentistry,El Alamein,National,2020.0
al alamein international university,Faculty of Oral and Dental Medicine,Orthodontics,El Alamein,National,2020.0
al alamein international university,Faculty of Oral and Dental Medicine,Oral Surgery,El Alamein,National,2020.0
al alamein international university,Faculty of Oral and Dental Medicine,Periodontology,El Alamein,National,2020.0
al alamein international university,Faculty of Veterinary Medicine,Anatomy,El Alamein,National,2020.0
al alamein international university,Faculty of Veterinary Medicine,Physiology,El Alamein,National,2020.0
al alamein international university,Faculty of Veterinary Medicine,Pathology,El Alamein,National,2020.0
al alamein international university,Faculty of Veterinary Medicine,Surgery,El Alamein,National,2020.0
al alamein international university,Faculty of Veterinary Medicine,Public Health,El Alamein,National,2020.0
al alamein international university,Faculty of Dar El-Ulum,Islamic Studies,El Alamein,National,2020.0
al alamein international university,Faculty of Dar El-Ulum,Arabic Language,El Alamein,National,2020.0
al alamein international university,Faculty of Dar El-Ulum,Quran Sciences,El Alamein,National,2020.0
al alamein international university,Faculty of Dar El-Ulum,Theology,El Alamein,National,2020.0
al alamein international university,Faculty of Kindergarten,Early Childhood Education,El Alamein,National,2020.0
al alamein international university,Faculty of Kindergarten,Child Psychology,El Alamein,National,2020.0
al alamein international university,Faculty of Kindergarten,Curriculum Development,El Alamein,National,2020.0
al-azhar university,Faculty of Medicine,Internal Medicine,Cairo,Public,975.0
al-azhar university,Faculty of Medicine,Surgery,Cairo,Public,975.0
al-azhar university,Faculty of Medicine,Pediatrics,Cairo,Public,975.0
al-azhar university,Faculty of Medicine,Obstetrics & Gynecology,Cairo,Public,975.0
al-azhar university,Faculty of Medicine,Pharmacology,Cairo,Public,975.0
al-azhar university,Faculty of Medicine,Anatomy,Cairo,Public,975.0
al-azhar university,Faculty of Engineering,Civil Engineering,Cairo,Public,975.0
al-azhar university,Faculty of Engineering,Mechanical Engineering,Cairo,Public,975.0
al-azhar university,Faculty of Engineering,Electrical Engineering,Cairo,Public,975.0
al-azhar university,Faculty of Engineering,Architecture,Cairo,Public,975.0
al-azhar university,Faculty of Engineering,Computer Engineering,Cairo,Public,975.0
al-azhar university,Faculty of Science,Mathematics,Cairo,Public,975.0
al-azhar university,Faculty of Science,Physics,Cairo,Public,975.0
al-azhar university,Faculty of Science,Chemistry,Cairo,Public,975.0
al-azhar university,Faculty of Science,Geology,Cairo,Public,975.0
al-azhar university,Faculty of Science,Botany,Cairo,Public,975.0
al-azhar university,Faculty of Science,Zoology,Cairo,Public,975.0
al-azhar university,Faculty of Agriculture,Agronomy,Cairo,Public,975.0
al-azhar university,Faculty of Agriculture,Horticulture,Cairo,Public,975.0
al-azhar university,Faculty of Agriculture,Animal Production,Cairo,Public,975.0
al-azhar university,Faculty of Agriculture,Soil Science,Cairo,Public,975.0
al-azhar university,Faculty of Agriculture,Plant Pathology,Cairo,Public,975.0
al-azhar university,Faculty of Commerce,Accounting,Cairo,Public,975.0
al-azhar university,Faculty of Commerce,Business Administration,Cairo,Public,975.0
al-azhar university,Faculty of Commerce,Economics,Cairo,Public,975.0
al-azhar university,Faculty of Commerce,Statistics,Cairo,Public,975.0
al-azhar university,Faculty of Law,Public Law,Cairo,Public,975.0
al-azhar university,Faculty of Law,Private Law,Cairo,Public,975.0
al-azhar university,Faculty of Law,International Law,Cairo,Public,975.0
al-azhar university,Faculty of Law,Criminal Law,Cairo,Public,975.0
al-azhar university,Faculty of Arts,English Language & Literature,Cairo,Public,975.0
al-azhar university,Faculty of Arts,Arabic,Cairo,Public,975.0
al-azhar university,Faculty of Arts,History,Cairo,Public,975.0
al-azhar university,Faculty of Arts,Philosophy,Cairo,Public,975.0
al-azhar university,Faculty of Arts,Psychology,Cairo,Public,975.0
al-azhar university,Faculty of Pharmacy,Pharmaceutical Chemistry,Cairo,Public,975.0
al-azhar university,Faculty of Pharmacy,Pharmacology,Cairo,Public,975.0
al-azhar university,Faculty of Pharmacy,Pharmaceutics,Cairo,Public,975.0
al-azhar university,Faculty of Pharmacy,Microbiology,Cairo,Public,975.0
al-azhar university,Faculty of Computers and Information,Computer Science,Cairo,Public,975.0
al-azhar university,Faculty of Computers and Information,Information Systems,Cairo,Public,975.0
al-azhar university,Faculty of Computers and Information,Software Engineering,Cairo,Public,975.0
al-azhar university,Faculty of Mass Communication,Journalism,Cairo,Public,975.0
al-azhar university,Faculty of Mass Communication,Radio & TV,Cairo,Public,975.0
al-azhar university,Faculty of Mass Communication,Public Relations,Cairo,Public,975.0
al-azhar university,Faculty of Mass Communication,Advertising,Cairo,Public,975.0
al-azhar university,Faculty of Nursing,Medical-Surgical Nursing,Cairo,Public,975.0
al-azhar university,Faculty of Nursing,Pediatric Nursing,Cairo,Public,975.0
al-azhar university,Faculty of Nursing,Psychiatric Nursing,Cairo,Public,975.0
al-azhar university,Faculty of Physiotherapy,Orthopedics,Cairo,Public,975.0
al-azhar university,Faculty of Physiotherapy,Neurology,Cairo,Public,975.0
al-azhar university,Faculty of Physiotherapy,Cardiopulmonary,Cairo,Public,975.0
al-azhar university,Faculty of Physiotherapy,Pediatrics,Cairo,Public,975.0
al-azhar university,Faculty of Oral and Dental Medicine,Conservative Dentistry,Cairo,Public,975.0
al-azhar university,Faculty of Oral and Dental Medicine,Orthodontics,Cairo,Public,975.0
al-azhar university,Faculty of Oral and Dental Medicine,Oral Surgery,Cairo,Public,975.0
al-azhar university,Faculty of Oral and Dental Medicine,Periodontology,Cairo,Public,975.0
al-azhar university,Faculty of Veterinary Medicine,Anatomy,Cairo,Public,975.0
al-azhar university,Faculty of Veterinary Medicine,Physiology,Cairo,Public,975.0
al-azhar university,Faculty of Veterinary Medicine,Pathology,Cairo,Public,975.0
al-azhar university,Faculty of Veterinary Medicine,Surgery,Cairo,Public,975.0
al-azhar university,Faculty of Veterinary Medicine,Public Health,Cairo,Public,975.0
al-azhar university,Faculty of Dar El-Ulum,Islamic Studies,Cairo,Public,975.0
al-azhar university,Faculty of Dar El-Ulum,Arabic Language,Cairo,Public,975.0
al-azhar university,Faculty of Dar El-Ulum,Quran Sciences,Cairo,Public,975.0
al-azhar university,Faculty of Dar El-Ulum,Theology,Cairo,Public,975.0
al-azhar university,Faculty of Kindergarten,Early Childhood Education,Cairo,Public,975.0
al-azhar university,Faculty of Kindergarten,Child Psychology,Cairo,Public,975.0
al-azhar university,Faculty of Kindergarten,Curriculum Development,Cairo,Public,975.0
alamein international university,Faculty of Medicine,Internal Medicine,Matrouh,National,2020.0
alamein international university,Faculty of Medicine,Surgery,Matrouh,National,2020.0
alamein international university,Faculty of Medicine,Pediatrics,Matrouh,National,2020.0
alamein international university,Faculty of Medicine,Obstetrics & Gynecology,Matrouh,National,2020.0
alamein international university,Faculty of Medicine,Pharmacology,Matrouh,National,2020.0
alamein international university,Faculty of Medicine,Anatomy,Matrouh,National,2020.0
alamein international university,Faculty of Engineering,Civil Engineering,Matrouh,National,2020.0
alamein international university,Faculty of Engineering,Mechanical Engineering,Matrouh,National,2020.0
alamein international university,Faculty of Engineering,Electrical Engineering,Matrouh,National,2020.0
alamein international university,Faculty of Engineering,Architecture,Matrouh,National,2020.0
alamein international university,Faculty of Engineering,Computer Engineering,Matrouh,National,2020.0
alamein international university,Faculty of Science,Mathematics,Matrouh,National,2020.0
alamein international university,Faculty of Science,Physics,Matrouh,National,2020.0
alamein international university,Faculty of Science,Chemistry,Matrouh,National,2020.0
alamein international university,Faculty of Science,Geology,Matrouh,National,2020.0
alamein international university,Faculty of Science,Botany,Matrouh,National,2020.0
alamein international university,Faculty of Science,Zoology,Matrouh,National,2020.0
alamein international university,Faculty of Agriculture,Agronomy,Matrouh,National,2020.0
alamein international university,Faculty of Agriculture,Horticulture,Matrouh,National,2020.0
alamein international university,Faculty of Agriculture,Animal Production,Matrouh,National,2020.0
alamein international university,Faculty of Agriculture,Soil Science,Matrouh,National,2020.0
alamein international university,Faculty of Agriculture,Plant Pathology,Matrouh,National,2020.0
alamein international university,Faculty of Commerce,Accounting,Matrouh,National,2020.0
alamein international university,Faculty of Commerce,Business Administration,Matrouh,National,2020.0
alamein international university,Faculty of Commerce,Economics,Matrouh,National,2020.0
alamein international university,Faculty of Commerce,Statistics,Matrouh,National,2020.0
alamein international university,Faculty of Law,Public Law,Matrouh,National,2020.0
alamein international university,Faculty of Law,Private Law,Matrouh,National,2020.0
alamein international university,Faculty of Law,International Law,Matrouh,National,2020.0
alamein international university,Faculty of Law,Criminal Law,Matrouh,National,2020.0
alamein international university,Faculty of Arts,English Language & Literature,Matrouh,National,2020.0
alamein international university,Faculty of Arts,Arabic,Matrouh,National,2020.0
alamein international university,Faculty of Arts,History,Matrouh,National,2020.0
alamein international university,Faculty of Arts,Philosophy,Matrouh,National,2020.0
alamein international university,Faculty of Arts,Psychology,Matrouh,National,2020.0
alamein international university,Faculty of Pharmacy,Pharmaceutical Chemistry,Matrouh,National,2020.0
alamein international university,Faculty of Pharmacy,Pharmacology,Matrouh,National,2020.0
alamein international university,Faculty of Pharmacy,Pharmaceutics,Matrouh,National,2020.0
alamein international university,Faculty of Pharmacy,Microbiology,Matrouh,National,2020.0
alamein international university,Faculty of Computers and Information,Computer Science,Matrouh,National,2020.0
alamein international university,Faculty of Computers and Information,Information Systems,Matrouh,National,2020.0
alamein international university,Faculty of Computers and Information,Software Engineering,Matrouh,National,2020.0
alamein international university,Faculty of Mass Communication,Journalism,Matrouh,National,2020.0
alamein international university,Faculty of Mass Communication,Radio & TV,Matrouh,National,2020.0
alamein international university,Faculty of Mass Communication,Public Relations,Matrouh,National,2020.0
alamein international university,Faculty of Mass Communication,Advertising,Matrouh,National,2020.0
alamein international university,Faculty of Nursing,Medical-Surgical Nursing,Matrouh,National,2020.0
alamein international university,Faculty of Nursing,Pediatric Nursing,Matrouh,National,2020.0
alamein international university,Faculty of Nursing,Psychiatric Nursing,Matrouh,National,2020.0
alamein international university,Faculty of Physiotherapy,Orthopedics,Matrouh,National,2020.0
alamein international university,Faculty of Physiotherapy,Neurology,Matrouh,National,2020.0
alamein international university,Faculty of Physiotherapy,Cardiopulmonary,Matrouh,National,2020.0
alamein international university,Faculty of Physiotherapy,Pediatrics,Matrouh,National,2020.0
alamein international university,Faculty of Oral and Dental Medicine,Conservative Dentistry,Matrouh,National,2020.0
alamein international university,Faculty of Oral and Dental Medicine,Orthodontics,Matrouh,National,2020.0
alamein international university,Faculty of Oral and Dental Medicine,Oral Surgery,Matrouh,National,2020.0
alamein international university,Faculty of Oral and Dental Medicine,Periodontology,Matrouh,National,2020.0
alamein international university,Faculty of Veterinary Medicine,Anatomy,Matrouh,National,2020.0
alamein international university,Faculty of Veterinary Medicine,Physiology,Matrouh,National,2020.0
alamein international university,Faculty of Veterinary Medicine,Pathology,Matrouh,National,2020.0
alamein international university,Faculty of Veterinary Medicine,Surgery,Matrouh,National,2020.0
alamein international university,Faculty of Veterinary Medicine,Public Health,Matrouh,National,2020.0
alamein international university,Faculty of Dar El-Ulum,Islamic Studies,Matrouh,National,2020.0
alamein international university,Faculty of Dar El-Ulum,Arabic Language,Matrouh,National,2020.0
alamein international university,Faculty of Dar El-Ulum,Quran Sciences,Matrouh,National,2020.0
alamein international university,Faculty of Dar El-Ulum,Theology,Matrouh,National,2020.0
alamein international university,Faculty of Kindergarten,Early Childhood Education,Matrouh,National,2020.0
alamein international university,Faculty of Kindergarten,Child Psychology,Matrouh,National,2020.0
alamein international university,Faculty of Kindergarten,Curriculum Development,Matrouh,National,2020.0
alexandria university,Faculty of Medicine,Internal Medicine,Alexandria,Public,1938.0
alexandria university,Faculty of Medicine,Surgery,Alexandria,Public,1938.0
alexandria university,Faculty of Medicine,Pediatrics,Alexandria,Public,1938.0
alexandria university,Faculty of Medicine,Obstetrics & Gynecology,Alexandria,Public,1938.0
alexandria university,Faculty of Medicine,Pharmacology,Alexandria,Public,1938.0
alexandria university,Faculty of Medicine,Anatomy,Alexandria,Public,1938.0
alexandria university,Faculty of Engineering,Civil Engineering,Alexandria,Public,1938.0
alexandria university,Faculty of Engineering,Mechanical Engineering,Alexandria,Public,1938.0
alexandria university,Faculty of Engineering,Electrical Engineering,Alexandria,Public,1938.0
alexandria university,Faculty of Engineering,Architecture,Alexandria,Public,1938.0
alexandria university,Faculty of Engineering,Computer Engineering,Alexandria,Public,1938.0
alexandria university,Faculty of Science,Mathematics,Alexandria,Public,1938.0
alexandria university,Faculty of Science,Physics,Alexandria,Public,1938.0
alexandria university,Faculty of Science,Chemistry,Alexandria,Public,1938.0
alexandria university,Faculty of Science,Geology,Alexandria,Public,1938.0
alexandria university,Faculty of Science,Botany,Alexandria,Public,1938.0
alexandria university,Faculty of Science,Zoology,Alexandria,Public,1938.0
alexandria university,Faculty of Agriculture,Agronomy,Alexandria,Public,1938.0
alexandria university,Faculty of Agriculture,Horticulture,Alexandria,Public,1938.0
alexandria university,Faculty of Agriculture,Animal Production,Alexandria,Public,1938.0
alexandria university,Faculty of Agriculture,Soil Science,Alexandria,Public,1938.0
alexandria university,Faculty of Agriculture,Plant Pathology,Alexandria,Public,1938.0
alexandria university,Faculty of Commerce,Accounting,Alexandria,Public,1938.0
alexandria university,Faculty of Commerce,Business Administration,Alexandria,Public,1938.0
